Title,description,Link,Score,Story_author,Painting_author,Author,Day,Genre,Image_Source,isDone,tags
무모협지,"강호를 평정했지만 그를 괴롭히는 한가지 고민
그것은 바로 대.머.리.
발모제를 향한 그의 모험이 시작된다!",https://comic.naver.com/webtoon/list?titleId=726842,9.95,초신우,초신우,,,개그,https://image-comic.pstatic.net/webtoon/726842/thumbnail/thumbnail_IMAG21_7305176563088385329.jpg,TRUE,#개그 #해외작품 #완결무료 #완결개그
수능일기,"대학에 가면 모든게 행복할 줄 알았던...
그 때의 처절했던 기억 속으로...",https://comic.naver.com/webtoon/list?titleId=734348,9.98,자까,자까,,,개그,https://image-comic.pstatic.net/webtoon/734348/thumbnail/thumbnail_IMAG21_3486175567243785523.jpg,TRUE,#개그 #완결개그
이말년 서유기,이말년이 <서유기>라는 좋은 차에 무임승차한다!,https://comic.naver.com/webtoon/list?titleId=602921,8.87,이말년,이말년,,,개그,https://image-comic.pstatic.net/webtoon/602921/thumbnail/thumbnail_IMAG21_3847030872581824819.jpg,TRUE,#개그 #완결개그
와라! 편의점,"우리 동네 편의점도 피해갈 수 없다!!

편의점에서 일어나는 여러가지 에피소드들을 그린 본격 버라이어티 편의점 만화!!",https://comic.naver.com/webtoon/list?titleId=26316,9.85,지강민,지강민,,,개그,https://image-comic.pstatic.net/webtoon/26316/thumbnail/thumbnail_IMAG21_3919029304203371056.jpg,TRUE,#개그 #완결개그
트라우마,"황당하고 골 때리는 반전! 

Trauma(-정신적 외상)를 입을 만한 초특급 코믹 펀치! 직접 확인하세요",https://comic.naver.com/webtoon/list?titleId=22052,9.92,곽백수,곽백수,,,개그,https://image-comic.pstatic.net/webtoon/22052/thumbnail/thumbnail_IMAG21_4123380150160340279.jpg,TRUE,#개그 #완결무료 #완결개그
가슴털 로망스,"최고의 상남자가 되기 위한 여행을 떠나는 장호풍과 친구들
명언범벅 눈물범벅 의리범벅 개그만화!",https://comic.naver.com/webtoon/list?titleId=729963,9.93,갸오오,갸오오,,,개그,https://image-comic.pstatic.net/webtoon/729963/thumbnail/thumbnail_IMAG21_4063480735854060601.jpg,TRUE,#개그 #완결무료 #완결개그
사장님을 잠금해제,"얼떨결에 죽어 스마트폰이 된 39살 대기업 천재 CEO 선주,
얼떨결에 그 스마트폰을 주운 29살 취준생 인성,
아홉수 두 사람이 힘을 합쳐 살인범을 찾는다.",https://comic.naver.com/webtoon/list?titleId=743031,9.94,박성현,박성현,,,개그,https://image-comic.pstatic.net/webtoon/743031/thumbnail/thumbnail_IMAG21_7075214620980687416.jpg,TRUE,#개그 #완결개그
혁신적 얼간이들,본 컨텐츠는 충청남도의 충남혁신도시 브랜드 웹툰으로 가스파드 작가가 전하는 혁신적 얼간이들 입니다,https://comic.naver.com/webtoon/list?titleId=783466,9.91,가스파드,가스파드,,,개그,https://image-comic.pstatic.net/webtoon/783466/thumbnail/thumbnail_IMAG21_7364005731772031586.jpg,TRUE,#개그 #완결무료 #완결개그
우리들은 푸르다,"그들과 함께라면 일상도 개그가 된다..! 범상치않은 그들이 모인 연파랑고 1학년 3반은 매일매일이 4차원 사건!
지루한 일상을 날려버릴 4컷 개그 블록버스터 만화!!",https://comic.naver.com/webtoon/list?titleId=243315,9.32,문택수,문택수,,,개그,https://image-comic.pstatic.net/webtoon/243315/thumbnail/thumbnail_IMAG21_7147553879782286649.jpg,TRUE,#개그 #완결개그
2019 병영일기,"웹툰 주인공 잠시 접고 군입대를 명 받았습니다!!
기상 나팔이 울리는 아침부터, 지옥 점호의 저녁까지... 웹툰 주인공들의 군 생활 대방출!!",https://comic.naver.com/webtoon/list?titleId=723365,9.83,네이버웹툰 작가,네이버웹툰 작가,,,개그,https://image-comic.pstatic.net/webtoon/723365/thumbnail/thumbnail_IMAG21_7089339136332937061.jpg,TRUE,#개그 #완결무료 #완결개그
낚시신공,"전설이 돌아왔다! 
허를 찌르는 실전 무공. 
귀귀 작가의 컷툰 신작!",https://comic.naver.com/webtoon/list?titleId=651667,8.63,귀귀,귀귀,,,개그,https://image-comic.pstatic.net/webtoon/651667/thumbnail/thumbnail_IMAG21_7364292730009630773.jpg,TRUE,#개그 #완결개그
203호 저승사자,"어느날 저승사자가 찾아왔다.
그런데 이 저승사자... 제 정신이 아니다.",https://comic.naver.com/webtoon/list?titleId=670140,9.91,샤니,샤니,,,개그,https://image-comic.pstatic.net/webtoon/670140/thumbnail/thumbnail_IMAG21_3473463026587874102.jpg,TRUE,#개그 #완결무료 #완결개그
여탕보고서,"금남의 공간 신비의 세계 여탕
가본 자가 알려주는 그곳의 진실",https://comic.naver.com/webtoon/list?titleId=639604,9.95,마일로,마일로,,,개그,https://image-comic.pstatic.net/webtoon/639604/thumbnail/thumbnail_IMAG21_7149237046612289124.jpg,TRUE,#개그 #완결개그
