title,origin
환생화(還生話) 2부 - 얼음왕자의 사랑 ,청화(聽樺)
신 민며느리,민예원
내가 당신의 꿈이 되어 줄게요,영시미
위험한 유산,뭐냐냠
검에 비친 달을 보다,유진성
걸프전쟁 ,이수광
사랑인가요? ,사라 크레이븐
행성역사위원회 ,나비의꿈
남편이 백작인데 공무원이 되었습니다,화가많은
브라보 마이 라이프 ,어진바람
마신백문,거해
그 남자의 취향 ,소소담
나의 윤아,양하나
시한부 공작님이 밤마다 집착해 ,운소서&하윤미
올라운드 플레이어 ,강형욱
내 호랑이는 물지 않아요,서향
달에 안기다 ,유리비
앙큼한 연두,정경하
테르뉘스 [외전선공개],김뉴희
"그대, 곁에 있어",윤하정
헌터 세상의 정령왕,청송(靑松)
그 마법사가 사는 법,김다진
요절할 대공자는 오래 살고싶다,겨울반디
"그 숲, 통각과 망각이 우거지다",류지윤
사일런스 ,김수인
사막의 남자 ,샤론 켄드릭
비밀,하얀달
계약연장 아내 외전 ,반트
리셋(제5회 디지털 작가상 수상작)  ,한선미
"이제 그만할래요, 공작님 ",하진
용의 아가씨 ,김미연
영환록 ,퍼플초이
"망국의 왕, 재벌이 되다",Analog감성
트리거(Trigger) ,유재희
탐관오리 이계정벌기,클로이M
재앙을 입양하다 ,신은수
화이트 ,준영
그날의 우리 ,이림
두 사랑 ,찬연
카피보이 ,서윤하
남편이 빙의한 주인공이다,이달리
노처녀 재활용법 ,최새로미
광자완흥(狂者完興),류청민
후아유 ,임은희
구남친은 싱글 대디 ,퐁당
아내의 의무 ,애니 웨스트
"사랑, 그 하찮은",글마미
두 번 빼앗긴 남편 ,리키타
알고도 못 막음,이글이글
마나 먹는 헌터 ,유리손목
나의 다정하지 않은 후원자에게 ,결리
돈 버는 사람 이야기 ,정현웅
알고 보니 회장 딸 ,앵디홀
환생화(還生話) 2부 - 얼음왕자의 사랑,청화(聽樺)
남자는 바람 여자는 촛불 ,정현웅
빈껍데기 공작부인 ,락희
회귀자의 구원 플랜 ,박이든
분열하는자,채우리
첫 키스의 추억 ,샬로트 램
그 기사가 레이디로 사는 법 ,성혜림
"백일홍의 소녀 - 나비처럼, 날아 시리즈 5 ",박복숭아
수상한 가정부 ,빅토리J
작곡천재 노래방송 ,문훈文勛
스텝 온 더 플라워,한희원
윤영의 남자 외전,정경하
물량으로 나 혼자 독식 ,쩡킴
사향장미 ,김현미
뉴 빌런(New Villain) ,A사과
천옥대공 진조여휘 ,장담
너때문에 미쳐 ,하얀고양이
